Iteration,Runtime(ns)
1531,15991200
1532,17019300
1533,16992700
1534,15989800
1535,16993600
1536,14992600
1537,16993600
1538,17034000
1539,16952600
1540,15989700
1541,16994600
1542,15990800
1543,17016100
1544,17023400
1545,15996200
1546,16992500
1547,15992900
1548,17027600
1549,17024000
1550,16035400
1551,16993100
1552,15992300
1553,16170100
1554,16991200
1555,16015100
1556,16992400
1557,15991800
1558,16993600
1559,16990100
1560,16996900
1561,16024500
1562,17088700
1563,14992800
1564,16060000
1565,16991000
1566,16992400
1567,15992700
1568,17018100
1569,16994500
1570,16026000
1571,15992100
1572,16994800
1573,16988600
1574,15992300
1575,15997100
1576,17205800
1577,16950300
1578,15992300
1579,17028800
1580,16013300
1581,16990900
1582,16996000
1583,15990900
1584,15992100
1585,17993100
1586,15992900
1587,15995100
1588,16990300
1589,15990300
1590,16995700
1591,16990400
1592,15992400
1593,16993000
1594,16992100
1595,15992400
1596,15992700
1597,16992700
1598,16914500
1599,15993000
1600,16993600
1601,15993000
1602,16991500
1603,16992500
1604,15993200
1605,16993100
1606,15995000
1607,15992900
1608,16991900
1609,16996600
1610,16989700
1611,15990900
1612,16994000
1613,16095900
1614,15992100
1615,17021300
1616,16992800
1617,16992400
1618,16107800
1619,15992900
1620,16991300
1621,16993600
1622,16051700
1623,15991700
1624,16993700
1625,16992700
1626,15993000
1627,16992700
1628,16992400
1629,15993000
1630,16992100
1631,16992800
1632,15990300
1633,16035400
1634,16990700
1635,16994200
1636,16990700
1637,16027500
1638,16017700
1639,16990100
1640,15991800
1641,16991800
1642,17024600
1643,16150600
1644,15995600
1645,16988900
1646,16990900
1647,16001200
1648,16986600
1649,16991000
1650,15994700
1651,17013700
1652,16014500
1653,16992100
1654,16046400
1655,16991800
1656,15993900
1657,17086000
1658,15995900
1659,16991200
1660,17055600
1661,15992400
1662,15991500
1663,17014800
1664,16992200
1665,16992400
1666,15993000
1667,16028000
1668,16994300
1669,16990600
1670,16024900
1671,16994500
1672,16990600
1673,15993000
1674,15992100
1675,16993300
1676,16992700
1677,16991600
1678,16016800
1679,15970000
1680,16991200
1681,17132900
1682,15924200
1683,15990600
1684,16994800
1685,17019000
1686,16994500
1687,15987700
1688,16996000
1689,15991700
1690,16993100
1691,15992000
1692,15993300
1693,16993600
1694,17017800
1695,16999000
1696,15986400
1697,16029600
1698,17026700
1699,16990300
1700,16022500
1701,16992400
1702,16992500
1703,15992900
1704,16993700
1705,16018300
1706,16991800
1707,15995100
1708,16990600
1709,16021000
1710,16992200
1711,15993200
1712,16992500
1713,16994500
1714,15991200
1715,17016900
1716,16992400
1717,15993000
1718,15992900
1719,16992500
1720,16993000
1721,15992700
1722,16992700
1723,15992700
1724,17017800
1725,15991500
1726,17101600
1727,16049000
1728,16991000
1729,16993900
1730,15993000
1731,16044900
1732,16940500
1733,16993600
1734,15993800
1735,16990700
1736,15992600
1737,17071000
1738,16992100
1739,15993000
1740,15992900
1741,18042100
1742,15992700
1743,15993200
1744,16992500
1745,17033400
1746,16087700
1747,16903400
1748,15992900
1749,17035200
1750,16990700
1751,15993000
1752,16033100
1753,17020700
1754,17017000
1755,15995600
1756,16990600
1757,15992700
1758,16994500
1759,17027000
1760,15992900
1761,15990300
1762,16995100
1763,16992500
1764,15992900
1765,16993100
1766,15992600
1767,16992800
1768,16028000
1769,16993900
1770,15991500
1771,17128200
1772,16892100
1773,15993600
1774,16991800
1775,15993300
1776,16989700
1777,16995400
1778,15992700
1779,16992400
1780,16992500
1781,16019200
1782,15991800
1783,16993900
1784,16992400
1785,16994500
1786,15990900
1787,15992100
1788,16995700
1789,16990400
1790,16018300
1791,15993000
1792,17074400
1793,16992800
1794,15992900
1795,17025800
1796,16144900
1797,15993600
1798,17991600
1799,16039300
1800,16154700
1801,17022800
1802,16018300
1803,16968900
1804,17025500
1805,15992000
1806,16995100
1807,16991000
1808,16008000
1809,16981500
1810,15985900
1811,16996900
1812,15988200
1813,16993000
1814,16996000
1815,15989400
1816,15995600
1817,16992500
1818,16989500
1819,16992700
1820,15998600
1821,16993900
1822,16013900
1823,15990300
1824,16997200
1825,17188900
1826,15990900
1827,15993000
1828,17101000
1829,17037900
1830,15990600
1831,16993300
1832,15992700
1833,16992400
1834,16992800
