Iteration,Runtime(ns)
1637,54502000
1638,78956200
1639,35002400
1640,52942400
1641,78961300
1642,34971200
1643,54968100
1644,76982800
1645,34980000
1646,53966900
1647,75957800
1648,35985900
1649,51992600
1650,80954800
1651,33951300
1652,53975300
1653,79954100
1654,33979800
1655,50966600
1656,79947000
1657,34987500
1658,52968100
1659,81949500
1660,30979500
1661,52968500
1662,80962300
1663,33977900
1664,51964600
1665,78956200
1666,33972800
1667,52975100
1668,78958500
1669,33976500
1670,51973500
1671,79948000
1672,34985600
1673,51967900
1674,79949400
1675,34012400
1676,52938700
1677,78983300
1678,33958800
1679,51960800
1680,74960300
1681,38092800
1682,53088900
1683,76014700
1684,38972600
1685,52454400
1686,75927000
1687,39975600
1688,52140000
1689,76133700
1690,38977300
1691,53199900
1692,75144100
1693,39199400
1694,54089600
1695,75623300
1696,37090100
1697,53059100
1698,76184500
1699,38100200
1700,54080300
1701,76072100
1702,35974200
1703,53094900
1704,77299600
1705,33979800
1706,54036900
1707,75014000
1708,35146500
1709,52218400
1710,78243800
1711,34074500
1712,52408200
1713,76952400
1714,35320600
1715,51456100
1716,76073900
1717,35063600
1718,51182200
1719,77176400
1720,34981400
1721,52283200
1722,76214900
1723,33950800
1724,53426200
1725,74284800
1726,35009900
1727,53090800
1728,76071600
1729,36101100
1730,53222800
1731,75955000
1732,36402500
1733,52321000
1734,77299500
1735,36884400
1736,53013400
1737,78086500
1738,36090900
1739,53280600
1740,75309800
1741,38316700
1742,52415700
1743,76955700
1744,37503000
1745,53378100
1746,78130000
1747,38976300
1748,53294700
1749,77090500
1750,39975200
1751,54169800
1752,76079100
1753,41967300
1754,53327800
1755,77178200
1756,40020900
1757,54097100
1758,77067200
1759,40089400
1760,53960900
1761,76287200
1762,40218700
1763,53435500
1764,77416600
1765,40966600
1766,53122000
1767,78266700
1768,40006400
1769,53039500
1770,76188700
1771,42087600
1772,54181500
1773,77036400
1774,41097200
1775,54080800
1776,77389500
1777,39295500
1778,54423200
1779,78212000
1780,41297400
1781,52784700
1782,75634000
1783,42556000
1784,54071400
1785,77301900
1786,40658200
1787,53052500
1788,75859800
1789,40977300
1790,53970700
1791,75983900
1792,41950000
1793,53084200
1794,77165200
1795,40083400
1796,52146000
1797,77501100
1798,40081100
1799,52259900
1800,77411000
1801,40197300
1802,53317000
1803,77292100
1804,39206800
1805,52213200
1806,77201100
1807,38978700
1808,53970600
1809,77039700
1810,37007100
1811,53171000
1812,76962700
1813,37087300
1814,53116000
1815,76934200
1816,38085300
1817,54455400
1818,74477000
1819,37287500
1820,52148400
1821,77666200
1822,38414200
1823,53206000
1824,77211800
1825,39948100
1826,51969700
1827,76276000
1828,41365400
1829,53077800
1830,78265700
1831,38102500
1832,52010300
1833,77192700
1834,41199800
1835,52968500
1836,76101500
1837,41223200
1838,52322800
1839,77946200
1840,40120700
1841,53397800
1842,76956600
1843,41980800
1844,54011200
1845,75951300
1846,42141300
1847,53344000
1848,78937100
1849,42434300
1850,52896200
1851,78986000
1852,40946100
1853,54312600
1854,76978500
1855,42879800
1856,53283000
1857,76974800
1858,41319300
1859,52706400
1860,81106400
1861,36987000
1862,54145200
1863,76259600
1864,39696200
1865,53536800
1866,78588500
1867,37981700
1868,53171500
1869,77983900
1870,37254900
1871,52739400
1872,77040600
1873,39121000
1874,53065100
1875,78647800
1876,36948800
1877,53396800
1878,77074200
1879,38969400
1880,53413100
1881,77182900
1882,40089900
1883,53179900
1884,78321700
1885,38320400
1886,54290700
1887,75098000
1888,40135200
1889,53074900
1890,76146200
1891,39978000
1892,52347600
1893,78182700
1894,38368000
1895,75287300
1896,53039500
1897,38949200
1898,53082900
1899,77198300
1900,37955100
1901,52963900
1902,78326300
1903,37090200
1904,54168000
1905,77025200
1906,38953900
1907,52335500
1908,77361100
1909,38327400
1910,52426400
1911,76190100
1912,39551100
1913,52257600
1914,77215100
1915,38269500
1916,50428300
1917,76990700
1918,38203300
1919,52060600
1920,77180600
1921,37065000
1922,52171700
1923,77325200
1924,36949700
1925,52577600
1926,79376500
1927,35987700
1928,53146300
1929,76965500
1930,36963700
1931,53115100
1932,76033800
1933,34974000
1934,53101500
1935,77161400
1936,34979100
1937,53181300
1938,76058100
1939,36084800
1940,53036100
1941,76081000
1942,35963900
1943,54089200
1944,74952400
1945,33101800
1946,54411000
1947,75195000
1948,35958400
1949,54197400
1950,73950300
1951,36102900
1952,54129300
1953,75956900
1954,35238000
1955,53944000
1956,76428600
1957,35948500
1958,53637600
1959,76893600
1960,36995900
1961,52129700
1962,77070500
1963,37137300
1964,54125000
1965,76304500
1966,37167600
1967,53509700
1968,77074200
1969,35980200
1970,52972300
1971,77981600
1972,36216800
1973,54201600
1974,78069300
1975,36009200
1976,53169600
1977,77091000
1978,36991300
1979,54108700
1980,77169800
1981,37176000
1982,53508300
1983,77287000
1984,39117200
1985,52941000
1986,79078900
1987,37065000
1988,54081200
1989,75957300
1990,39208700
1991,53972900
1992,76981400
1993,38950700
1994,53085600
1995,79336400
1996,35983100
1997,53289000
1998,77060700
1999,37206800
2000,54569600
2001,75940600
2002,37078900
2003,54020600
2004,78068800
2005,35124700
2006,52947100
2007,78213500
2008,35950900
2009,54550000
2010,75963900
2011,35957400
2012,54083500
2013,77961100
2014,36972600
2015,54203500
2016,76545100
2017,37962100
2018,52208100
2019,76411700
2020,36747700
2021,54968600
2022,75985800
2023,34950600
2024,53973000
2025,75390900
2026,36323200
2027,54197900
2028,75539300
2029,36312900
2030,53199500
2031,77256600
2032,37094800
2033,53081000
2034,76402400
2035,38207900
2036,53313300
2037,76219100
2038,38168700
2039,53938000
2040,76202700
2041,40344200
2042,50969500
2043,75155400
2044,40468700
2045,52319600
2046,76396300
2047,38984300
2048,53304900
2049,76553100
2050,39168500
2051,52529600
2052,74957500
2053,39990100
2054,52425100
2055,75868700
2056,38214500
2057,52968100
2058,76433200
2059,38954400
2060,52197300
2061,76931900
2062,38443600
2063,54313500
2064,76102500
2065,37974200
2066,53017000
2067,76296100
2068,40132400
2069,52092400
2070,77090900
2071,37977100
2072,53436000
2073,78080000
2074,37975600
2075,52167100
2076,76043600
2077,40075000
2078,54247300
2079,73195000
2080,39079900
2081,52969000
2082,77100800
2083,39954600
2084,53101000
2085,76925400
2086,40090000
2087,52972700
2088,75898500
2089,39983600
2090,54218400
2091,75269700
2092,37982600
2093,53092200
2094,77215000
2095,40097000
2096,52133900
2097,77092400
2098,38979600
2099,53078600
2100,77075200
2101,40083800
2102,53110900
2103,76925300
2104,39098600
2105,53217200
2106,76209300
2107,39947600
2108,52134400
2109,78097800
2110,39946700
2111,52315800
2112,76173800
2113,40098900
2114,54284100
2115,75514600
2116,40180400
2117,52234700
2118,78015200
2119,39369200
2120,52970800
2121,76954800
2122,40006900
2123,52310700
2124,76417400
2125,39178800
2126,53464400
2127,77274800
2128,40946500
2129,53557800
2130,77199700
2131,42097000
